hhid,adoption,household_size,gender,age,land_holding,crop_land_size,credit,extension,training,married,widow,single,primary,secondary,post_secondary,no_formal_education,main_livelihood_source,off_farm,purchase_decision_woman,purchase_decision_joint,county_kisumu,county_migori,county_siaya,county_vihiga
129,0,4,0,62,3,2,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1
130,1,5,1,65,6,.25,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
131,1,3,1,42,.5,.125,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
132,1,9,1,48,2,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
133,1,6,1,48,3,2.5,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
134,1,10,1,56,2,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
135,1,8,1,58,3,2.5,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
136,1,7,1,43,5,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
137,1,7,1,51,6,3,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
138,1,9,1,57,3.48,2.24,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
139,1,2,1,64,3,2.75,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
140,1,8,1,65,2,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
141,1,5,1,65,5,4.25,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
142,1,3,1,69,2,1.5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
143,1,5,1,70,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
144,1,6,1,39,4,3,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
145,1,4,1,45,2,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0
146,1,10,1,45,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
147,1,5,1,52,4,1.5,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
148,1,6,1,55,2,1.5,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
149,1,9,1,56,1.8,.75,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
150,1,19,1,65,4,2,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
151,1,3,1,75,3,2.8,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
152,1,6,1,42,2.5,2,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
153,1,8,1,50,3,2.5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
154,1,8,1,65,3,2,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
155,1,7,1,79,1,.75,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0
156,1,5,1,53,1,.75,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
157,1,10,1,53,1,.5,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
158,1,8,1,70,5,2.5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
159,1,6,1,65,1.5,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
160,1,8,1,67,4,1.5,0,1,1,1,0,0,1,0,0,0,3,1,1,0,0,0,1,0
161,1,4,1,43,1,.75,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
162,1,10,1,50,2,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1
163,1,15,1,55,3.5,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
164,1,7,1,58,2,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
165,1,8,1,43,3,3,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1
166,1,3,1,60,1,.5,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
167,1,3,1,61,1.5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
168,1,6,1,69,2.5,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
169,1,5,1,72,3,2.5,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
170,0,4,1,38,.5,.25,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
171,0,8,1,51,.75,.5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
172,0,4,1,68,2.5,2,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
173,0,5,1,69,1.9,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
174,0,5,1,44,3,2,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
175,0,5,1,45,4,3,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
176,0,8,1,62,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
177,0,7,1,63,1.5,1.5,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
178,0,2,1,67,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
179,0,8,1,68,7,4,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0
180,0,7,1,76,12,5,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
181,0,3,1,52,2,1.5,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
182,0,11,1,60,3,2,1,1,1,1,0,0,0,1,0,0,3,1,0,1,0,1,0,0
183,0,4,1,65,1.2,.8,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
184,0,5,1,70,8,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
185,0,7,1,42,1,.75,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
186,0,5,1,66,4,2.5,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
187,0,12,1,67,2,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
188,0,5,1,78,8,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
189,0,6,1,43,1,.75,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
190,0,5,1,49,.75,.5,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
191,0,5,1,51,1.5,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
192,0,8,1,63,1,.75,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
193,0,5,1,46,3,2,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
194,0,6,1,60,1,.75,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
195,0,5,1,42,.25,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
196,0,6,1,50,3,2,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0
197,0,5,1,40,.5,.5,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0
198,0,4,1,46,2,1.5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
199,0,7,1,60,5,3,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
200,0,10,1,46,2,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
201,0,8,1,62,1.5,.75,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
202,0,3,1,69,5,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
203,0,4,1,72,16,5,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
204,0,12,1,70,8,6,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
205,0,12,1,64,3,2.5,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
206,0,5,1,73,2,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
207,0,5,1,59,.5,.5,0,1,1,1,0,0,1,0,0,0,2,1,1,0,0,0,0,1
208,0,3,1,60,.5,.5,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
209,0,6,1,69,2,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
210,1,1,0,24,1,.75,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
211,1,5,0,28,1,.75,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
212,1,4,0,35,2,1.5,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
213,1,4,1,28,2.5,2.5,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
214,1,7,1,31,4,2,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
215,1,3,1,32,3,3,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
216,1,4,1,30,.75,.5,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
